karma,networkExp,bedwars_beds,bedwars_bedwars_challenger,bedwars_bedwars_killer,bedwars_collectors_edition,bedwars_level,bedwars_loot_box,bedwars_slumber_ticket_master,bedwars_wins,challenges,all_timeBEDWARS__defensive,BEDWARS__offensive,BEDWARS__support,Bedwars_openedChests,Experience,_items_purchased_bedwars,beds_broken_bedwars,beds_lost_bedwars,coins,deaths_bedwars,diamond_resources_collected_bedwars,emerald_resources_collected_bedwars,fall_deaths_bedwars,fall_final_deaths_bedwars,fall_final_kills_bedwars,fall_kills_bedwars,final_deaths_bedwars,final_kills_bedwars,games_played_bedwars,games_played_bedwars_1,kills_bedwars,losses_bedwars,void_deaths_bedwars,void_final_deaths_bedwars,void_final_kills_bedwars,void_kills_bedwars,wins_bedwars,Cheat,fkdr,wlr,bblr,fk_lev,bb_lev,kill_lev
0.0,55670.0,7.0,0.0,49.0,2.0,4.0,0.0,0.0,50.0,0.0,0.0,1.0,1.0,0.0,9336.0,1539.0,7.0,5.0,2091.0,20.0,79.0,24.0,0.0,0.0,2.0,2.0,5.0,49.0,55.0,62.0,85.0,5.0,11.0,1.0,21.0,41.0,50.0,0,9.8,10.0,1.4,12.25,21.25,1.75
10.0,34240.0,33.0,0.0,81.0,50.0,3.0,0.0,0.0,12.0,0.0,0.0,5.0,2.0,0.0,6869.0,1197.0,33.0,34.0,12165.0,164.0,52.0,13.0,5.0,2.0,1.0,6.0,58.0,81.0,116.0,118.0,105.0,104.0,42.0,16.0,12.0,30.0,12.0,0,1.396551724137931,0.11538461538461539,0.9705882352941176,27.0,35.0,11.0
0.0,125452.0,45.0,0.0,87.0,26.0,4.0,2.0,0.0,14.0,0.0,0.0,8.0,7.0,3.0,8014.0,1494.0,45.0,40.0,63957.0,197.0,156.0,25.0,3.0,1.0,2.0,2.0,55.0,72.0,124.0,127.0,109.0,108.0,74.0,18.0,19.0,31.0,14.0,0,1.309090909090909,0.12962962962962962,1.125,18.0,27.25,11.25
10.0,113337.0,0.0,0.0,5.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3906.0,422.0,0.0,13.0,665.0,54.0,34.0,21.0,0.0,0.0,0.0,2.0,25.0,4.0,38.0,38.0,26.0,31.0,26.0,6.0,1.0,4.0,3.0,0,0.16,0.0967741935483871,0.0,1.3333333333333333,8.666666666666666,0.0
0.0,15709.0,19.0,0.0,28.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,3096.0,592.0,19.0,21.0,692.0,94.0,40.0,6.0,2.0,0.0,1.0,0.0,29.0,30.0,71.0,71.0,48.0,67.0,20.0,13.0,6.0,11.0,4.0,0,1.0344827586206897,0.05970149253731343,0.9047619047619048,15.0,24.0,9.5
200.0,147692.0,137.0,0.0,320.0,84.0,10.0,12.0,0.0,37.0,0.0,0.0,26.0,6.0,34.0,38479.0,6944.0,136.0,164.0,11722.0,1314.0,399.0,118.0,7.0,2.0,0.0,6.0,413.0,188.0,523.0,551.0,391.0,486.0,824.0,63.0,43.0,148.0,37.0,0,0.4552058111380145,0.07613168724279835,0.8292682926829268,18.8,39.1,13.6
1190.0,827155.0,472.0,0.0,730.0,845.0,16.0,16.0,0.0,121.0,0.0,0.0,115.0,38.0,48.0,67441.0,13397.0,469.0,283.0,90258.0,1390.0,1158.0,220.0,53.0,10.0,14.0,39.0,306.0,730.0,444.0,444.0,1203.0,323.0,852.0,116.0,220.0,544.0,121.0,0,2.3856209150326797,0.3746130030959752,1.657243816254417,45.625,75.1875,29.3125
742215.0,2021240.0,17.0,0.0,30.0,22.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,4142.0,630.0,17.0,21.0,2090.0,96.0,20.0,29.0,6.0,0.0,2.0,3.0,21.0,18.0,23.0,23.0,48.0,21.0,62.0,8.0,4.0,21.0,2.0,0,0.8571428571428571,0.09523809523809523,0.8095238095238095,6.0,16.0,5.666666666666667
175.0,385682.0,48.0,0.0,157.0,157.0,10.0,6.0,0.0,31.0,0.0,0.0,7.0,49.0,18.0,40867.0,6712.0,48.0,138.0,8295.0,397.0,1749.0,734.0,8.0,4.0,2.0,23.0,148.0,157.0,179.0,179.0,661.0,148.0,232.0,52.0,54.0,314.0,31.0,0,1.0608108108108107,0.20945945945945946,0.34782608695652173,15.7,66.1,4.8
46895.0,248016.0,26.0,0.0,126.0,112.0,12.0,5.0,0.0,55.0,0.0,0.0,5.0,14.0,9.0,48079.0,3040.0,26.0,182.0,27844.0,554.0,448.0,158.0,11.0,5.0,2.0,9.0,257.0,84.0,337.0,346.0,411.0,267.0,276.0,71.0,21.0,126.0,55.0,0,0.32684824902723736,0.20599250936329588,0.14285714285714285,7.0,34.25,2.1666666666666665
