karma,networkExp,bedwars_beds,bedwars_bedwars_challenger,bedwars_bedwars_killer,bedwars_collectors_edition,bedwars_level,bedwars_loot_box,bedwars_slumber_ticket_master,bedwars_wins,challenges,all_timeBEDWARS__defensive,BEDWARS__offensive,BEDWARS__support,Bedwars_openedChests,Experience,_items_purchased_bedwars,beds_broken_bedwars,beds_lost_bedwars,coins,deaths_bedwars,diamond_resources_collected_bedwars,emerald_resources_collected_bedwars,fall_deaths_bedwars,fall_final_deaths_bedwars,fall_final_kills_bedwars,fall_kills_bedwars,final_deaths_bedwars,final_kills_bedwars,games_played_bedwars,games_played_bedwars_1,kills_bedwars,losses_bedwars,void_deaths_bedwars,void_final_deaths_bedwars,void_final_kills_bedwars,void_kills_bedwars,wins_bedwars,Cheat
19710117,81898150.0,1520,1,5774,811,141,170,0,936,0,0,142,82,465,680487.0,42745,1516,697,321389,4992,6168,3906,152,20,91,240,551,3214,1504,1595,5769,543,2478,160,1028,2754,935,1
5018050,18084743.0,304,0,428,2,15,19,0,116,0,0,8,14,26,66925,4023,314,89,57695,330,2091,1414,8,2,9,21,61,409,184,185,777,68,193,24,135,322,116,1
855,1225229.0,6,0,73,40,5,5,0,13,0,0,0,24,13,14825,1141,6,39,8235,169,757,213,3,2,2,8,37,37,57,59,159,42,77,10,13,73,13,1
45002943,160291315.0,1564,30,5664,1738,159,237,0,1142,0,0,102,45,689,773791,44441,1559,903,1452174,4763,5455,2597,200,32,89,258,750,3164,1912,2044,4912,756,2173,264,1033,2390,1140,1
29530664,102082812.0,1491,0,4926,623,142,188,0,1171,0,0,66,82,439,688920,34737,1490,431,788938,5513,8910,6160,188,12,58,184,340,3577,1485,1525,6161,304,2854,115,1526,3310,1171,1
3439805,52232596,1272,30,2591,1127,172,100,30920,766,0,0,200,91,300,834775,29144,1246,247,1058661,1931,4718,2095,76,7,60,122,157,2591,904,1093,2234,144,941,39,861,1047,759,1
10992968,41745419.0,227,0,441,0,10,8,0,88,0,0,4,7,0,39883,3267,228,60,106657,324,1262,691,9,1,4,10,42,416,139,139,524,51,173,20,151,224,88,1
9172425,17058803.0,0,0,14,2,6,1,0,22,0,0,0,0,0,19328,718,0,51,21466,53,16,8,2,0,0,1,53,7,75,75,64,51,23,18,3,32,22,1
39680,23646316.0,8,1,393,423,24,6,82,367,0,0,0,8,18,108978,6341,8,122,178511,967,255,77,60,7,9,38,109,202,465,496,664,97,433,26,63,305,367,1
66760100,133549011.0,1256,0,3242,1577,108,152,0,673,0,0,135,65,413,514129,37909,1233,824,245530,4371,4437,1998,120,28,46,78,740,2135,1488,1523,2765,778,2549,320,783,1411,667,1
22736575,95021742.0,56,0,154,3,8,23,0,28,0,0,0,2,56,31043.0,1553,55,47,92317,166,554,273,7,0,1,8,39,94,66,77,268,45,86,16,34,92,21,1
44559095,258987057.0,1812,21,5468,2669,150,261,0,875,0,0,134,245,689,721242,50044,1802,1098,335705,4948,18157,5050,114,15,56,149,920,3745,1757,1870,7892,893,2780,377,1342,3638,854,1
19687765,50875655.0,25,0,89,25,6,0,0,21,0,0,3,9,0,20713,914,24,41,52447,140,277,129,3,1,0,4,39,50,64,78,179,46,93,18,16,75,17,1
11254170,59556024.0,130,0,624,206,35,1,0,231,0,0,18,124,2,164954,8155,130,249,156257,996,5134,1358,24,3,11,40,219,395,456,459,1354,221,470,58,119,570,231,1
22817180,235147699.0,227,0,828,490,30,167,0,230,0,0,25,41,446,137882.0,6332,227,140,650212,741,2001,689,30,0,14,48,117,707,354,366,1851,124,349,56,241,790,230,1
3935618,21696845.0,920,16,3746,1716,95,111,0,540,0,0,193,229,333,459371,29254,920,846,466386,3942,6889,2181,98,29,42,126,761,1884,1281,1403,3454,721,1952,288,593,1454,539,1
5617345,24589007.0,3,0,16,0,3,18,0,7,0,0,0,5,43,6036,205,3,13,39280,43,286,94,0,0,0,1,12,12,23,25,34,16,26,5,2,21,7,1
16281855,111248543.0,9411,1,25705,4324,469,387,124,5739,0,0,1083,292,1077,2283729,224205,9323,4078,1094978,29313,21445,11239,827,96,455,809,3499,18729,9554,9822,22360,3746,15692,1595,7867,12849,5723,1
