karma,networkExp,bedwars_beds,bedwars_bedwars_challenger,bedwars_bedwars_killer,bedwars_collectors_edition,bedwars_level,bedwars_loot_box,bedwars_slumber_ticket_master,bedwars_wins,challenges,all_timeBEDWARS__defensive,BEDWARS__offensive,BEDWARS__support,Bedwars_openedChests,Experience,_items_purchased_bedwars,beds_broken_bedwars,beds_lost_bedwars,coins,deaths_bedwars,diamond_resources_collected_bedwars,emerald_resources_collected_bedwars,fall_deaths_bedwars,fall_final_deaths_bedwars,fall_final_kills_bedwars,fall_kills_bedwars,final_deaths_bedwars,final_kills_bedwars,games_played_bedwars,games_played_bedwars_1,kills_bedwars,losses_bedwars,void_deaths_bedwars,void_final_deaths_bedwars,void_final_kills_bedwars,void_kills_bedwars,wins_bedwars,Cheat
15,30693,37,0,116,8,2,0,0,3,0,0,9,0,0,1990,301,37,3,672,16,8,0,0,0,3,0,4,62,17,17,36,14,3,2,10,16,3,0
55630,976434.0,77,0,221,138,18,23,0,88,0,0,11,32,69,74386,7103,77,343,19548,780,1102,418,24,14,8,18,351,127,437,496,466,341,424,129,52,218,88,0
110915,816144.0,186,0,752,294,16,17,0,94,0,0,38,30,51,69137,7564,186,152,101082,1208,1093,400,33,5,10,53,554,437,736,736,921,622,277,40,120,353,94,0
1768355,7877173.0,2768,3,8976,3229,138,84,126,1281,0,0,604,359,249,667636,92426,2764,2135,746210,13360,11867,6048,456,84,164,420,2884,5070,4572,4576,8828,3268,5847,697,1645,3677,1280,0
720535,3268742.0,592,0,2366,565,57,57,0,420,0,0,126,38,171,273972,23183,591,466,315644,2599,1854,734,110,6,45,84,490,1245,916,994,1422,494,1220,138,373,541,419,0
20,365363,115,13,234,295,9,0,0,30,0,0,23,50,0,33819,3839,112,99,26511,303,1745,903,7,2,3,7,95,129,131,131,358,101,141,14,29,129,30,0
7802267,36269046.0,4974,30,13191,4661,424,462,107,1684,0,0,1074,509,1385,2056304,174012,4950,5613,466423,23342,19813,11862,676,219,153,440,5267,6755,6993,7673,14088,5211,12617,2048,2481,6846,1679,0
5571155,11654242.0,363,12,1544,950,93,114,189,321,0,0,44,49,335,452762,35629,363,1704,183597,5405,2572,1657,171,49,27,111,1719,834,2034,2289,3032,1708,3156,644,288,1230,321,0
15265760,60411995.0,6584,30,17851,7081,457,489,607,2125,0,0,1166,780,1465,2224200,176376,6528,4014,264932,18702,30386,12618,481,136,232,523,3450,9370,5733,6630,15419,3531,11458,1374,3517,8275,2118,0
9290,816692.0,263,0,1128,478,18,18,0,107,0,0,71,27,48,81224,8684,263,185,38498,1030,1077,825,30,8,16,62,170,591,276,277,1673,169,474,62,226,708,107,0
13916735,9183519.0,45,0,120,456,49,36,0,118,0,0,1,48,98,234733,6672,45,614,52229,1798,1322,1390,46,15,2,18,625,64,805,1346,501,649,1061,255,32,255,118,0
38165,11553719.0,1472,11,6703,3478,190,180,0,1174,0,0,309,401,533,928271,79430,1472,1940,1088752,9611,13533,5686,339,47,121,374,1806,3942,2959,3089,7058,1779,4978,640,1314,2859,1174,0
94640,18079304.0,1418,5,3338,1054,99,2,0,238,0,0,301,236,0,481505,61673,1411,2231,254291,8406,8105,3000,148,25,41,141,2246,1808,2688,2732,5572,2381,5030,843,586,2504,236,0
0,3914,0,0,4,0,2,0,0,2,0,0,0,0,0,2034,74,0,6,566,17,4,4,0,0,0,0,5,2,9,9,20,7,8,0,0,7,2,0
360,17637.0,6,0,22,4,3,0,0,4,0,0,1,0,0,1859,196,6,6,292,24,14,4,0,0,0,2,9,12,15,15,11,11,10,5,3,4,4,0
32880,500742.0,67,1,138,36,5,3,0,16,0,0,15,4,8,14231,2730,67,47,15390,239,199,67,2,0,0,7,53,85,77,77,131,61,145,20,23,55,16,0
0,47,0,0,4,0,1,0,0,0,0,0,0,0,0,700,56,0,5,36,8,7,6,0,0,0,0,13,2,13,13,0,12,0,2,0,0,0,0
85,677944.0,6,0,56,413,26,36,66,34,0,0,0,34,108,120547,4980,6,368,51728,1037,1255,381,33,17,0,9,378,34,406,612,229,371,648,148,18,135,34,0
0,15836,13,0,75,1,1,0,0,2,0,0,4,0,0,1150,231,13,8,5312,7,17,7,0,0,1,0,13,40,16,16,11,13,0,3,8,1,2,0
13576,597207.0,119,8,330,249,9,13,0,25,0,0,28,11,38,34762,4175,119,108,22490,477,429,205,8,7,8,10,125,176,161,183,290,136,260,34,68,138,25,0
1085,89216,44,2,136,8,4,0,0,9,0,0,10,1,0,9250,528,44,137,7089,687,68,16,0,0,0,3,561,72,698,698,50,646,7,1,16,9,9,0
63195,2260352,154,0,286,174,10,6,0,33,0,0,42,29,18,40110,5808,154,107,31444,600,848,327,10,1,4,10,121,174,164,211,287,131,294,33,66,110,33,0
34535,4176399.0,139,0,389,56,13,14,0,47,0,0,9,10,42,52905,3283,134,51,56399,192,631,571,3,0,6,6,36,195,80,127,288,35,114,13,56,101,45,0
4820160,17229701.0,132,0,476,74,8,20,0,48,0,0,17,3,59,29183,2908,131,52,75954,214,235,56,1,2,3,6,54,252,103,104,194,55,120,8,67,64,48,0
3712600,27555419.0,5339,7,12908,3942,245,190,15837,1536,0,0,911,466,562,1189182,104502,5303,2053,1323488,8774,21114,4581,294,31,264,610,1733,7697,3296,3354,10885,1766,4213,535,1908,3599,1529,0
13692145,49446001.0,216,1,376,173,17,3,0,45,0,0,31,9,9,76779,4148,215,157,109825,375,505,497,3,4,3,13,151,234,199,203,454,154,202,34,69,149,45,0
1616606,16704637.0,681,0,1514,96,30,47,0,170,0,0,121,87,138,139101,16495,663,318,191668,1044,3757,2501,44,14,22,28,240,759,434,439,1670,258,623,100,194,525,170,0
189560,2222385.0,165,0,799,242,24,28,126,137,0,0,36,75,81,111440,8052,165,191,99422,1085,2105,881,29,4,18,50,190,502,334,334,1386,193,495,60,141,509,137,0
27574120,121129727.0,3698,6,10069,1028,262,250,1725,1285,0,0,839,448,741,1274156,109733,3645,2353,2243426,10924,14577,7658,260,50,127,283,2062,5549,3409,3536,8785,2064,6796,994,1799,4108,1277,0
3266245,17980795.0,543,1,1749,248,35,44,0,106,0,0,80,32,131,162000,15205,542,444,107203,1729,2014,710,60,15,15,84,424,906,549,556,1815,441,902,162,332,826,106,0
11377700,50472997.0,332,0,817,830,20,3,0,87,0,0,33,22,6,89802,5740,326,71,659944,295,1721,956,6,3,13,25,40,417,130,138,525,42,177,18,146,216,87,0
0,79568,11,0,81,0,1,0,0,4,0,0,4,0,0,1050,164,11,1,10310,4,0,0,0,0,0,0,0,43,4,4,2,0,2,0,10,1,4,0
34000,820389.0,88,0,158,68,7,1,0,17,0,0,17,12,0,24990,1212,86,26,22245,36,401,219,0,0,0,2,16,87,34,34,210,17,15,7,14,27,17,0
8454480,236350330.0,44,0,207,45,9,8,0,30,0,0,11,12,24,35136,1498,37,39,88817,130,231,119,3,1,2,3,38,42,51,107,157,39,87,20,14,56,12,0
31550,7723649.0,853,0,2614,3718,64,8,124,369,0,0,152,222,24,307820,47348,852,1115,406781,4226,7303,2953,118,34,63,242,1074,1960,1457,1503,4953,1083,2221,377,621,1994,369,0
13633920,35090429.0,7058,4,27825,9616,526,445,0,4491,0,0,1121,982,1291,2552363,232503,7010,4176,3246987,29589,39651,15065,975,117,455,881,3603,14506,8073,8843,21672,3553,14533,1289,4610,8887,4482,0
22575360,122891433.0,272,0,946,49,28,60,0,189,0,0,26,15,172,128085,7154,271,104,301064,484,1261,657,15,0,4,14,68,462,239,298,727,59,288,36,111,266,176,0
7889705,40778235.0,2597,7,8045,4975,322,300,675,1336,0,0,677,605,858,1562557,114978,2574,2443,158441,12125,16609,8147,380,63,172,453,2272,5226,3626,3976,9704,2270,6647,954,1885,4477,1329,0
61205,2142935.0,108,0,326,84,9,10,0,26,0,0,21,7,30,32485,3151,108,66,40122,282,268,107,6,1,3,17,64,172,96,97,361,69,125,21,58,145,26,0
7118300,89214868.0,159,0,470,45,10,31,0,42,0,0,19,2,93,41101,2832,159,79,68552,139,431,326,2,4,4,9,71,255,112,113,374,69,58,18,75,106,42,0
4063705,32914506.0,1226,16,2083,700,54,110,395,267,0,0,288,129,330,259979,17611,1221,457,473040,1799,4231,2435,46,12,34,58,360,1335,690,698,1715,424,1036,133,389,665,266,0
23752295,58186541.0,3259,10,18651,2860,294,173,19041,5229,0,0,582,187,519,1433614,92320,3258,620,783069,11097,8202,2822,421,21,323,620,361,10374,5542,5715,10428,290,4507,118,2862,4819,5228,0
1090,651882,0,0,0,0,1,0,0,0,0,0,0,0,0,525,5,0,0,13005,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
1065,432772.0,46,0,170,257,5,0,0,28,0,0,13,9,0,13754,1405,46,37,6698,130,283,97,4,2,0,5,37,115,62,62,227,33,63,15,32,97,28,0
4990500,27228200.0,3080,0,7102,1141,83,80,0,832,0,0,593,166,228,403164,52508,3068,1024,650652,4352,7749,1513,142,31,101,180,774,3675,1662,1672,5021,813,2393,309,1123,1967,831,0
35584970,56587957.0,1176,0,2683,560,104,147,0,374,0,0,133,161,391,498893,34593,1162,1528,275227,6441,8172,4226,138,44,37,130,1540,1593,1992,2077,5065,1597,3314,586,480,2132,368,0
195707,6945533.0,640,1,1870,778,51,55,225,260,0,0,127,68,163,246014,23138,635,655,59283,2909,1960,630,108,24,38,142,656,1139,942,1051,2623,673,1424,187,367,1066,260,0
937205,3384298.0,606,22,2476,2006,68,91,0,429,0,0,120,105,267,328638,28084,606,840,86614,3447,3486,2163,101,19,35,131,806,1284,1277,1543,2722,845,1799,317,371,1100,429,0
602285,8642515.0,237,0,679,132,12,25,0,57,0,0,56,29,75,48627,5621,237,129,46770,514,862,534,12,3,10,18,118,399,176,176,591,119,304,45,117,255,57,0
75070,3940904,1166,9,4209,2608,58,34,0,563,0,0,209,116,100,277030,28423,1164,227,271373,3188,5591,1883,135,9,68,124,161,2297,703,717,2841,139,1700,75,804,1351,563,0
2183660,24014452.0,1749,0,3445,913,99,112,25,540,0,0,312,113,323,485494,48870,1705,1504,128697,7918,8011,4039,205,27,64,158,1408,2390,2142,2158,5548,1577,3948,485,702,2303,540,0
5049180,20310698.0,92,0,330,248,15,32,0,63,0,0,15,25,87,64254,3716,92,116,2895,403,902,392,16,6,1,22,105,224,170,170,481,107,212,29,55,197,63,0
